,Unnamed: 0,bookID,title,authors,average_rating,isbn,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
0,0,1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPrÌ©,4.57,439785960,eng,652,2095690,27591,16-09-2006 00:00,Scholastic Inc.
1,1,2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPrÌ©,4.49,439358078,eng,870,2153167,29221,01-09-2004 00:00,Scholastic Inc.
2,2,4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,eng,352,6333,244,01-11-2003 00:00,Scholastic
3,3,5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPrÌ©,4.56,043965548X,eng,435,2339585,36325,01-05-2004 00:00,Scholastic Inc.
4,4,8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPrÌ©,4.78,439682584,eng,2690,41428,164,13-09-2004 00:00,Scholastic
5,5,9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,en-US,152,19,1,26-04-2005 00:00,Nimble Books
6,6,10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,eng,3342,28242,808,12-09-2005 00:00,Scholastic
7,7,12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,eng,815,3628,254,01-11-2005 00:00,Gramercy Books
8,8,13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,eng,815,249558,4080,30-04-2002 00:00,Del Rey Books
9,9,14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,eng,215,4930,460,03-08-2004 00:00,Crown
10,10,16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,eng,6,1266,253,23-03-2005 00:00,Random House Audio
11,11,18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,eng,815,2877,195,17-01-1996 00:00,Wings Books
12,12,21,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,eng,544,248558,9396,14-09-2004 00:00,Broadway Books
13,13,22,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,eng,55,7270,499,03-12-2002 00:00,Broadway Books
14,14,23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,eng,256,2088,131,14-09-2004 00:00,Broadway Books
15,15,24,In a Sunburned Country,Bill Bryson,4.07,767903862,eng,335,72451,4245,15-05-2001 00:00,Broadway Books
16,16,25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,eng,304,49240,2211,28-06-2000 00:00,Broadway Books
17,17,26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,eng,299,45712,2257,28-08-1990 00:00,William Morrow Paperbacks
18,18,27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,eng,254,48701,2238,28-03-1993 00:00,William Morrow Paperbacks
19,19,28,Notes from a Small Island,Bill Bryson,3.91,380727501,eng,324,80609,3301,28-05-1997 00:00,William Morrow Paperbacks
20,20,29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,eng,270,28489,2085,28-09-1991 00:00,William Morrow Paperbacks
21,21,30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,eng,1728,101233,1550,25-09-2012 00:00,Ballantine Books
22,22,31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,eng,1184,1710,91,21-10-2004 00:00,Houghton Mifflin Harcourt
23,23,34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,eng,398,2128944,13670,05-09-2003 00:00,Houghton Mifflin Harcourt
24,24,35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,en-US,1216,1618,140,01-10-2002 00:00,Houghton Mifflin Harcourt
25,25,36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,eng,218,19822,46,05-11-2003 00:00,Houghton Mifflin Harcourt
26,26,37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,eng,224,359,6,15-11-2004 00:00,Houghton Mifflin Harcourt
27,27,45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,eng,558,1430,59,28-07-2005 00:00,Pragmatic Bookshelf
28,28,50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,eng,208,270244,12017,01-04-2000 00:00,Atheneum Books for Young Readers: Richard Jackson Books
29,29,51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,eng,48,36,2,28-08-1994 00:00,Teacher Created Resources
30,30,53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,eng,144,2067,334,23-01-2001 00:00,Delacorte Press
31,31,54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,eng,56,6,0,10-06-2003 00:00,Cherry Lane Music Company
32,32,55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,en-US,228,99,16,01-11-2005 00:00,The New Press
33,33,57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,eng,304,167,4,01-11-2005 00:00,Changeling Press
34,34,58,Changeling (Changeling  #1),Delia Sherman,3.6,670059676,eng,256,978,111,17-08-2006 00:00,Viking Juvenile
35,35,59,The Changeling Sea,Patricia A. McKillip,4.06,141312629,eng,137,4454,302,14-04-2003 00:00,Firebird
36,36,61,The Changeling,Zilpha Keatley Snyder,4.17,595321801,eng,228,1176,96,08-06-2004 00:00,iUniverse
37,37,63,The Changeling,Kate Horsley,3.55,1590301943,eng,339,301,43,12-04-2005 00:00,Shambhala
38,38,66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,449146979,eng,369,345,12,28-08-1990 00:00,Ivy Books
39,39,67,The Known World,Edward P. Jones,3.83,61159174,eng,388,29686,2626,29-08-2006 00:00,Amistad
40,40,68,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,en-US,14,55,12,15-06-2004 00:00,HarperAudio
41,41,69,The Known World,Edward P. Jones,3.83,60749911,eng,576,22,3,15-06-2004 00:00,Harper
42,42,71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,273704745,eng,334,1456,82,15-05-2006 00:00,FT Press
43,43,72,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,eng,352,52,4,14-12-2005 00:00,Archaia
44,44,74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,374517193,eng,416,562,37,01-06-1982 00:00,Farrar  Straus and Giroux
45,45,75,Uncommon Carriers,John McPhee,3.95,374280398,en-US,248,1630,203,16-05-2006 00:00,Farrar Straus Giroux
46,46,76,Heirs of General Practice,John McPhee,4.17,374519749,eng,128,268,22,01-04-1986 00:00,Farrar  Straus and Giroux
47,47,77,The Control of Nature,John McPhee,4.24,374522596,en-US,288,3498,305,01-09-1990 00:00,Farrar  Straus and Giroux
48,48,78,Annals of the Former World,John McPhee,4.34,374518734,eng,720,3115,228,06-01-1999 00:00,Farrar  Straus and Giroux
49,49,79,Coming Into the Country,John McPhee,4.22,374522871,eng,448,5704,261,01-04-1991 00:00,Farrar  Straus and Giroux
